CellID,X,Y,cluster_name
588,3027.724365,788.5217896,CD31+TAM
589,3341.123291,788.5205688,IDO-1+ Tumor APCs
590,1819.5979,787.47052,CD31+TAM
591,3609.065918,787.2310181,CD31+TAM
592,4408.354004,787.3843994,None Artefacts
593,1689.741577,788.8825684,Treg
594,2417.636963,789.6903687,B cells
595,4643.768555,788.9263306,Inflammatory Monocytes
596,2780.035156,789.0895996,CD31+TAM
597,3443.26416,793.1135864,Proliferating Tumor APCs
598,4684.893066,789.9007568,Tcyt
599,4248.770508,790.880127,B cells
600,4620.432617,791.6396484,None Artefacts
601,1659.841919,790.6271362,Proliferative MPs
602,4311.033691,791.8151245,Tcyt
603,1718.235352,792.7217407,APC T help
604,1928.496826,792.671875,APC T help
